1767643302.461387 server started (3948): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1767643302.461420 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Jul 14 11:30:29 PDT 2025; root:xnu-11417.140.69~1/RELEASE_ARM64_T6000
1767643302.461425 using libevent 2.1.12-stable select
1767643302.461432 using utf8proc 2.11.2
1767643302.461436 using ncurses 6.5 20240427
1767643302.462811 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1767643302.462814 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1767643302.462817 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1767643302.462820 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1767643302.462822 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1767643302.462825 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1767643302.462827 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1767643302.462830 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1767643302.462833 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1767643302.462835 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1767643302.462838 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1767643302.462840 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1767643302.462843 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1767643302.462846 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1767643302.462849 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1767643302.462852 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1767643302.462855 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1767643302.462858 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1767643302.462861 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1767643302.462864 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1767643302.462867 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1767643302.462870 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1767643302.462872 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1767643302.462875 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1767643302.462877 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1767643302.462880 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1767643302.462882 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1767643302.462885 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1767643302.462887 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1767643302.462890 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1767643302.462893 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1767643302.462896 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1767643302.462899 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1767643302.462902 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1767643302.462904 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1767643302.462907 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1767643302.462910 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1767643302.462945 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1767643302.462949 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1767643302.462951 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1767643302.462955 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1767643302.462958 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1767643302.462960 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1767643302.462963 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1767643302.462967 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1767643302.462969 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1767643302.462972 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1767643302.462975 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1767643302.462978 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1767643302.462981 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1767643302.462983 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1767643302.462986 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1767643302.462988 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1767643302.462996 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1767643302.462998 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1767643302.463001 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1767643302.463004 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1767643302.463007 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1767643302.463009 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1767643302.463012 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1767643302.463015 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1767643302.463018 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1767643302.463020 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1767643302.463023 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1767643302.463025 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1767643302.463028 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1767643302.463030 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1767643302.463032 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1767643302.463035 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1767643302.463037 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1767643302.463040 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1767643302.463043 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1767643302.463046 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1767643302.463048 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1767643302.463051 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1767643302.463054 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1767643302.463057 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1767643302.463059 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1767643302.463062 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1767643302.463065 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1767643302.463067 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1767643302.463070 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1767643302.463072 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1767643302.463075 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1767643302.463077 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1767643302.463079 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1767643302.463082 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1767643302.463084 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1767643302.463087 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1767643302.463089 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1767643302.463092 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1767643302.463094 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1767643302.463097 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1767643302.463100 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1767643302.463103 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1767643302.463105 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1767643302.463108 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1767643302.463127 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1767643302.463136 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1767643302.463141 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1767643302.463144 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1767643302.463406 yylex_token: end at WS
1767643302.463412 yylex_token: bind
1767643302.463417 yylex_token: end at WS
1767643302.463419 yylex_token: -N
1767643302.463422 yylex_token: end at WS
1767643302.463425 yylex_token: Send the prefix key
1767643302.463427 yylex_token: end at WS
1767643302.463430 yylex_token: C-b
1767643302.464182 yylex_token: end at WS
1767643302.464189 yylex_token: send-prefix
1767643302.464193 cmd_parse_build_commands 0:0: bind
1767643302.464196 cmd_parse_build_commands 0:1: -N
1767643302.464199 cmd_parse_build_commands 0:2: Send the prefix key
1767643302.464201 cmd_parse_build_commands 0:3: C-b
1767643302.464204 cmd_parse_build_commands 0:4 0:0: send-prefix
1767643302.464213 cmd_parse_build_commands 0:0: send-prefix
1767643302.464220 args_parse: flags end at 1 of 1
1767643302.464224 cmd_parse_build_commands: send-prefix
1767643302.464227 args_parse_flags: next -N
1767643302.464230 args_parse_flag_argument: -N = Send the prefix key
1767643302.464234 args_parse_flags: next C-b
1767643302.464236 args_parse: flags end at 3 of 5
1767643302.464239 args_parse: 3 = C-b (type STRING)
1767643302.464244 args_parse: 4 = send-prefix (type COMMANDS)
1767643302.464252 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1767643302.464270 cmdq_get_command: [bind-key/0x139b04740] group 6
1767643302.464274 cmdq_append <global>: [bind-key/0x139b04740]
1767643302.464277 yylex_token: end at WS
1767643302.464279 yylex_token: bind
1767643302.464282 yylex_token: end at WS
1767643302.464284 yylex_token: -N
1767643302.464287 yylex_token: end at WS
1767643302.464289 yylex_token: Rotate through the panes
1767643302.464292 yylex_token: end at WS
1767643302.464294 yylex_token: C-o
1767643302.464297 yylex_token: end at WS
1767643302.464299 yylex_token: rotate-window
1767643302.464302 cmd_parse_build_commands 0:0: bind
1767643302.464305 cmd_parse_build_commands 0:1: -N
1767643302.464307 cmd_parse_build_commands 0:2: Rotate through the panes
1767643302.464309 cmd_parse_build_commands 0:3: C-o
1767643302.464312 cmd_parse_build_commands 0:4 0:0: rotate-window
1767643302.464316 cmd_parse_build_commands 0:0: rotate-window
1767643302.464320 args_parse: flags end at 1 of 1
1767643302.464323 cmd_parse_build_commands: rotate-window
1767643302.464326 args_parse_flags: next -N
1767643302.464328 args_parse_flag_argument: -N = Rotate through the panes
1767643302.464331 args_parse_flags: next C-o
1767643302.464333 args_parse: flags end at 3 of 5
1767643302.464336 args_parse: 3 = C-o (type STRING)
1767643302.464339 args_parse: 4 = rotate-window (type COMMANDS)
1767643302.464346 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1767643302.464351 cmdq_get_command: [bind-key/0x139b04900] group 14
1767643302.464353 cmdq_append <global>: [bind-key/0x139b04900]
1767643302.464356 yylex_token: end at WS
1767643302.464359 yylex_token: bind
1767643302.464362 yylex_token: end at WS
1767643302.464365 yylex_token: -N
1767643302.464368 yylex_token: end at WS
1767643302.464370 yylex_token: Suspend the current client
1767643302.464374 yylex_token: end at WS
1767643302.464376 yylex_token: C-z
1767643302.464379 yylex_token: end at WS
1767643302.464381 yylex_token: suspend-client
1767643302.464384 cmd_parse_build_commands 0:0: bind
1767643302.464387 cmd_parse_build_commands 0:1: -N
1767643302.464390 cmd_parse_build_commands 0:2: Suspend the current client
1767643302.464392 cmd_parse_build_commands 0:3: C-z
1767643302.464395 cmd_parse_build_commands 0:4 0:0: suspend-client
1767643302.464399 cmd_parse_build_commands 0:0: suspend-client
1767643302.464403 args_parse: flags end at 1 of 1
1767643302.464407 cmd_parse_build_commands: suspend-client
1767643302.464410 args_parse_flags: next -N
1767643302.464414 args_parse_flag_argument: -N = Suspend the current client
1767643302.464418 args_parse_flags: next C-z
1767643302.464421 args_parse: flags end at 3 of 5
1767643302.464424 args_parse: 3 = C-z (type STRING)
1767643302.464427 args_parse: 4 = suspend-client (type COMMANDS)
1767643302.464435 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1767643302.464441 cmdq_get_command: [bind-key/0x139b05170] group 22
1767643302.464443 cmdq_append <global>: [bind-key/0x139b05170]
1767643302.464446 yylex_token: end at WS
1767643302.464448 yylex_token: bind
1767643302.464450 yylex_token: end at WS
1767643302.464460 yylex_token: -N
1767643302.464463 yylex_token: end at WS
1767643302.464465 yylex_token: Select next layout
1767643302.464467 yylex_token: end at WS
1767643302.464470 yylex_token: Space
1767643302.464473 yylex_token: end at WS
1767643302.464475 yylex_token: next-layout
1767643302.464479 cmd_parse_build_commands 0:0: bind
1767643302.464481 cmd_parse_build_commands 0:1: -N
1767643302.464484 cmd_parse_build_commands 0:2: Select next layout
1767643302.464487 cmd_parse_build_commands 0:3: Space
1767643302.464489 cmd_parse_build_commands 0:4 0:0: next-layout
1767643302.464492 cmd_parse_build_commands 0:0: next-layout
1767643302.464496 args_parse: flags end at 1 of 1
1767643302.464499 cmd_parse_build_commands: next-layout
1767643302.464502 args_parse_flags: next -N
1767643302.464504 args_parse_flag_argument: -N = Select next layout
1767643302.464506 args_parse_flags: next Space
1767643302.464509 args_parse: flags end at 3 of 5
1767643302.464512 args_parse: 3 = Space (type STRING)
1767643302.464514 args_parse: 4 = next-layout (type COMMANDS)
1767643302.464521 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1767643302.464525 cmdq_get_command: [bind-key/0x139b05470] group 30
1767643302.464528 cmdq_append <global>: [bind-key/0x139b05470]
1767643302.464555 yylex_token: end at WS
1767643302.464562 yylex_token: bind
1767643302.464565 yylex_token: end at WS
1767643302.464568 yylex_token: -N
1767643302.464572 yylex_token: end at WS
1767643302.464575 yylex_token: Break pane to a new window
1767643302.464578 yylex_token: end at WS
1767643302.464581 yylex_token: !
1767643302.464584 yylex_token: end at WS
1767643302.464587 yylex_token: break-pane
1767643302.464591 cmd_parse_build_commands 0:0: bind
1767643302.464593 cmd_parse_build_commands 0:1: -N
1767643302.464596 cmd_parse_build_commands 0:2: Break pane to a new window
1767643302.464599 cmd_parse_build_commands 0:3: !
1767643302.464602 cmd_parse_build_commands 0:4 0:0: break-pane
1767643302.464606 cmd_parse_build_commands 0:0: break-pane
1767643302.464610 args_parse: flags end at 1 of 1
1767643302.464614 cmd_parse_build_commands: break-pane
1767643302.464617 args_parse_flags: next -N
1767643302.464620 args_parse_flag_argument: -N = Break pane to a new window
1767643302.464623 args_parse_flags: next !
1767643302.464625 args_parse: flags end at 3 of 5
1767643302.464628 args_parse: 3 = ! (type STRING)
1767643302.464631 args_parse: 4 = break-pane (type COMMANDS)
1767643302.464640 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1767643302.464645 cmdq_get_command: [bind-key/0x139905750] group 38
1767643302.464647 cmdq_append <global>: [bind-key/0x139905750]
1767643302.464651 yylex_token: end at WS
1767643302.464654 yylex_token: bind
1767643302.464656 yylex_token: end at WS
1767643302.464659 yylex_token: -N
1767643302.464663 yylex_token: end at WS
1767643302.464665 yylex_token: Split window vertically
1767643302.464668 yylex_token: end at WS
1767643302.464671 yylex_token: "
1767643302.464675 yylex_token: end at WS
1767643302.464678 yylex_token: split-window
1767643302.464682 cmd_parse_build_commands 0:0: bind
1767643302.464684 cmd_parse_build_commands 0:1: -N
1767643302.464688 cmd_parse_build_commands 0:2: Split window vertically
1767643302.464691 cmd_parse_build_commands 0:3: "
1767643302.464695 cmd_parse_build_commands 0:4 0:0: split-window
1767643302.464699 cmd_parse_build_commands 0:0: split-window
1767643302.464703 args_parse: flags end at 1 of 1
1767643302.464708 cmd_parse_build_commands: split-window
1767643302.464711 args_parse_flags: next -N
1767643302.464715 args_parse_flag_argument: -N = Split window vertically
1767643302.464717 args_parse_flags: next "
1767643302.464782 args_parse: flags end at 3 of 5
1767643302.464827 args_parse: 3 = " (type STRING)
1767643302.464842 args_parse: 4 = split-window (type COMMANDS)
1767643302.464867 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1767643302.464884 cmdq_get_command: [bind-key/0x139a05360] group 46
1767643302.464897 cmdq_append <global>: [bind-key/0x139a05360]
1767643302.464950 yylex_token: end at WS
1767643302.464963 yylex_token: bind
1767643302.464973 yylex_token: end at WS
1767643302.464983 yylex_token: -N
1767643302.465009 yylex_token: end at WS
1767643302.465020 yylex_token: List all paste buffers
1767643302.465023 yylex_token: end at WS
1767643302.465026 yylex_token: #
1767643302.465029 yylex_token: end at WS
1767643302.465032 yylex_token: list-buffers
1767643302.465037 cmd_parse_build_commands 0:0: bind
1767643302.465040 cmd_parse_build_commands 0:1: -N
1767643302.465043 cmd_parse_build_commands 0:2: List all paste buffers
1767643302.465046 cmd_parse_build_commands 0:3: #
1767643302.465050 cmd_parse_build_commands 0:4 0:0: list-buffers
1767643302.465055 cmd_parse_build_commands 0:0: list-buffers
1767643302.465061 args_parse: flags end at 1 of 1
1767643302.465066 cmd_parse_build_commands: list-buffers
1767643302.465070 args_parse_flags: next -N
1767643302.465073 args_parse_flag_argument: -N = List all paste buffers
1767643302.465076 args_parse_flags: next #
1767643302.465079 args_parse: flags end at 3 of 5
1767643302.465082 args_parse: 3 = # (type STRING)
1767643302.465086 args_parse: 4 = list-buffers (type COMMANDS)
1767643302.465095 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1767643302.465100 cmdq_get_command: [bind-key/0x139c04080] group 54
1767643302.465103 cmdq_append <global>: [bind-key/0x139c04080]
1767643302.465115 yylex_token: end at WS
1767643302.465119 yylex_token: bind
1767643302.465121 yylex_token: end at WS
1767643302.465124 yylex_token: -N
1767643302.465129 yylex_token: end at WS
1767643302.465133 yylex_token: Rename current session
1767643302.465135 yylex_token: end at WS
1767643302.465138 yylex_token: $
1767643302.465140 yylex_token: end at WS
1767643302.465143 yylex_token: command-prompt
1767643302.465146 yylex_token: end at WS
1767643302.465149 yylex_token: -I#S
1767643302.465152 yylex_token: end at WS
1767643302.465155 yylex_token: rename-session
1767643302.465158 yylex_token: end at WS
1767643302.465160 yylex_token: --
1767643302.465164 yylex_token: end at WS
1767643302.465167 yylex_token: %%
